Period,Site name,Region,Tephra post-,Tephra pre-,References
1,Húshólmi ,SW,/,LTL,"Jóhannesson & Einarsson 1988, 83"
1,Reykjavík,SW,/,LTL,"Roberts et al. 2003, 224-225; Sigurgeirsson 2001b, 103-104"
2,Hrísbrú ,SW,LTL,K~920/Eldgjá,"Byock and Zori, 7"
2,í Geirlandsheiði ,E,LTL,Eldgjá,"Einarsson 2008b, 8-9"
2,Beinisstaðir ,N,LTL,V-Sv,"Vésteinsson 2011, 23-24; Sigurgeirsson 2008a, 47; 2011, 76"
2,Gautlandasel,N,LTL,V-Sv,"Vésteinsson 2011, 45-47; Sigurgeirsson 2011, 75-76"
2,Hrísheimar,N,LTL,V-Sv,"Sigurgeirsson 2008a, 47; 2011, 76"
2,Skútustaðir,N,LTL,V-Sv,"Edwald & McGovern 2009, 6-7"
2,Sveigakot,N,LTL,V-Sv,"Sigurgeirsson 2001c, 39-40"
2,Þorleifsstaðir,N,LTL,V-Sv,"Sigurgeirsson 2008a, 46-49"
2,Þyrilskot,N,LTL,V-Sv,"Vésteinsson 2011, 11; Sigurgeirsson 2011, 73"
2,Fagridalur,E,K~920,Eldgjá,"Guðmundsson et al. 2004, 94-98"
2,Mosholt,E,/,Eldgjá,"Hreiðarsdóttir et al. 2014, 39-40"
2,Sámsstaðir,SW,/,Eldgjá,"Rafnsson 1977, 90"
2,"""Sólheimar"" ",E,/,Eldgjá,"Einarsson 2008b, 7-8"
2,við Kóragil,E,/,Eldgjá,"Hreiðarsdóttir et al. 2014, 42"
3,Hraunþúfuklaustur,N,Eldgjá,H-1104,"Þórarinsson 1977, 33"
3,Hrunakrókur,SW,Eldgjá,H-1104,"Ólafsson 2010, 4-5, 12"
3,Skallakot,SW,Eldgjá,H-1104,"Þórarinsson 1943, 32-35; Hansen & Vésteinsson 2002, 11; Sigurgeirsson 2002a, 32-33"
3,Stöng,SW,Eldgjá,H-1104,"Þórarinsson 1943, 38-40; Vilhjálmsson 1989, 88-89"
3,Holtsmúli,N,V-Sv,Vj,"Steinberg et al. 2009a, 3"
3,Kjartansstaðir,N,V-Sv,Vj,"Steinberg et al. 2009b, 3; Sigurgeirsson 2010a, 3"
3,Litla Gröf ,N,V-Sv,Vj,"Steinberg et al. 2009c, 3; Sigurgeirsson 2010a, 4"
3,Meðalheimur,N,V-Sv,Vj,"Steinberg & Shepard 2007, 2; Steinberg et al. 2009f, 3"
